#PIXEL  #BOARD  #CHANNEL  #MACROCELL L1  #ALL MACROCELLS  #ATTENUATION
582        1        25        1        1,0,0        13.538500
354        2        24        3        3,0,0        12.238000
570        3        19        7        7,0,0        12.184400
363        4        18        9        6,9,0        11.276500
189        5        15        12        5,12,0        11.435000
183        6        4        15        10,15,0        12.331400
345        7        5        18        13,18,0        11.274300
406        7        20        31        26,31,0        13.461400
438        7        32        23        17,23,0        12.507200
12        9        11        28        16,28,0        11.843700
111        9        4        27        20,27,0        12.357600
97        10        11        30        21,30,0        13.698700
252        12        9        36        29,36,0        10.799900
55        13        16        42        33,42,0        12.721400
61        14        1        45        34,45,0        11.892900
220        14        30        47        38,47,0        12.278400
316        15        25        49        40,49,0        10.742900
163        16        20        53        44,53,0        12.129100
328        17        19        55        48,55,0        11.245000
#Delay 0.010000    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    
#Delay 0.260000    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    
#Delay 0.510000    2    0    2    0    2    2    2    0    0    2    0    2    2    0    2    2    2    2    0    2    2    0    2    0    0    2    0    2    2    2    2    0    2    2    0    2    0    0    0    2    0    2    0    2    2    0    2    0    0    0    0    0    2    0    2    
#Delay 0.760000    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    
#Delay 1.010000    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    
